,Research purpose,Core,Instrument resolution,Database,MS system,Protein source concentration,Search engine,NM concentration,Core type,Digestion protocol,Modification type,Surface modification,Proteomic depth,Separation method,Incubation temperature (°C),DLS size in water (nm),Incubation setting,Centrifugation speed,Zeta potential in dispersion medium (mV)
Core,0.02694492259804615,,,,,,,,,,,,,,,,,,
Instrument resolution,0.0037370687884344944,0.008965407667066994,,,,,,,,,,,,,,,,,
Database,-0.006241857272440532,-0.00651653157068699,0.006290393798273564,,,,,,,,,,,,,,,,
MS system,-0.00500648307316609,-0.01029045034121212,-0.014182035439765373,-0.025344707554929014,,,,,,,,,,,,,,,
Protein source concentration,-0.00871357367618597,-0.004685810224287379,-4.401481125793083e-05,-0.016185759202047345,-0.014057321583454407,,,,,,,,,,,,,,
Search engine,0.01543914721312567,0.0126878019403186,-0.02879687277022014,-0.02495897545464354,-0.003004024163668406,-0.01859378298291814,,,,,,,,,,,,,
NM concentration,0.0054530238641493645,0.010268439380563654,0.008580005871244079,-0.022548631474090364,-0.008787330826974915,-0.0341815527414393,-0.010731457400108724,,,,,,,,,,,,
Core type,0.040437057382769925,0.031094305439680392,-0.0038387973408687825,0.007160531006344284,0.011554450049760745,-0.0024691878734836026,0.008777338170884441,0.0032259459994286033,,,,,,,,,,,
Digestion protocol,0.01771815327127646,0.017694366149450302,0.03079043403504822,-0.0157925586824883,0.006463174632781343,0.0005537226024294739,-0.0008157933062574729,0.005023562428566053,0.016630633018587138,,,,,,,,,,
Modification type,-0.002278561296230608,-0.012484458955991706,0.007750531521443782,-0.011426415716055849,-0.012387951216353943,-0.011663515490050291,-0.01425595025754034,-0.016410737542112863,-0.004189484165406321,0.005648060809761657,,,,,,,,,
Surface modification,0.01976062956239022,-0.002387537375893145,0.012079262463614349,-0.0023200545289431274,-0.007710609142207336,-0.008103393352885013,-0.0018159291054160587,0.006610581077047706,-0.002437185207438075,0.01663676505210665,-0.0061480584962805285,,,,,,,,
Proteomic depth,-0.00643423796212117,0.0366239770355844,0.004806569178390618,-0.020770713004757524,-0.011950672697897291,0.004346230914319293,-0.005425979447798546,-0.0012109013794053824,0.03070221114267424,-0.0060031640873106085,0.001369379918297886,0.006115439115365273,,,,,,,
Separation method,0.007234339288096692,0.011843089822394792,-0.011814382359727649,-0.015922375289834867,-0.01018127024205917,-0.00720430488742152,-0.006363495525426699,0.00227828286407461,0.008387358186691118,-0.006625217625928048,-0.00796188833027145,0.0010089973787135165,0.006529185936123394,,,,,,
Incubation temperature (°C),0.0020401618817031952,-0.002823359075063925,0.006033576405880869,-0.010938533143025175,-0.00025538583474638,-0.015322066813506452,-0.013441915210873123,-0.017222868387550383,0.0017800779246058829,0.0026628065858205208,0.0008211304046931156,0.0026384450613058386,-0.0003105883325691394,-0.0055626463730538145,,,,,
DLS size in water (nm),-0.010897514839985023,-0.020255939904874842,-0.0014312084512756451,-0.015509338990573829,-0.004170282098166167,-0.025864516806478943,-0.008217371962426445,-0.010093206240807007,-0.016987455288105524,0.004014636941173544,-0.0264675024572113,-0.012536073568748307,0.0012078669154178545,-0.008833284005204667,0.0002247972638967921,,,,
Incubation setting,0.016973719403467924,0.01632983408026445,0.004430450902751626,-0.002543477698983998,0.0004325695699447518,-0.010330276012643691,0.007375190153179112,-0.007737424613586841,0.003626985925818671,0.008524866381810714,-0.002300335570904033,-0.0036463002909982167,0.009705902460124372,-0.010838268588167832,0.003183879829607328,-0.01357956379277081,,,
Centrifugation speed,0.014137504497424014,0.01996328754204424,0.015673218304134484,-0.020656159738251634,0.0002667775685221141,-0.004496258713542534,-0.004088679013136809,-0.0032221822375697595,0.015175584387571273,-0.0033414248540706293,0.003771537808056058,0.00854224876944576,-0.007200489717688496,-0.006428037178359491,-0.0031318650619580612,-0.005469549496012749,0.012697275565854649,,
Zeta potential in dispersion medium (mV),-0.01415941168342394,-7.445659487692602e-05,-0.0017432793380564027,-0.014797774106942052,-0.013506770577166649,-0.033648048368886574,-0.012273490786253505,-0.015325186823026082,-0.014434504387149882,0.001229326636344008,-0.021048908325946636,-0.007084362920060316,-0.003969219055734663,-0.0009907962384113622,-0.002262479951515517,-0.017178285756336953,-0.011998980401166093,-0.003935467914818136,
Primary size (nm),-0.003036288253745245,-0.008338907420729957,0.0036992419460560866,-0.002328802874618785,-0.004459761834572751,-0.008112214840155119,-0.0039508909665108005,-0.004275715478905373,-0.0007314688044459672,0.01712903208373817,-0.004886030868738178,-0.010098923447919517,0.0016286305668672396,-0.010116026312482651,-0.001209250126234851,-0.00894816693278333,0.0019453652203427207,0.010817687044809787,-0.006448479784515682
