,Research purpose,Core,Instrument resolution,Database,MS system,Protein source concentration,Search engine,NM concentration,Core type,Digestion protocol,Modification type,Surface modification,Proteomic depth,Separation method,Incubation temperature (℃),DLS size in water (nm),Incubation setting,Centrifugation speed,Zeta potential in dispersion medium (mV),Primary size (nm)
Research purpose,,0.65326978626944,0.7088773012747702,0.727197760729296,0.730872011812651,0.7368772527269627,0.7131212432900031,0.7284548852944074,0.6962968125869745,0.7202644296856456,0.7409026472503284,0.7219196198902861,0.7497542535419986,0.7367653173022156,0.7437852379145784,0.756904471580737,0.7296638656871517,0.7328817902618465,0.7621884153878692,0.7518196170113006
Core,,,0.7120158209383547,0.7358392935697594,0.744522837622914,0.7412163478172811,0.7242394471050272,0.7320063283202101,0.714006423072281,0.7286550753496888,0.7594754034523065,0.7524346453707864,0.71506289708651,0.7405234253101345,0.7570156174135625,0.7746297551878438,0.7386746095525721,0.7354228657594433,0.7564703188415391,0.7654890947205023
Instrument resolution,,,,0.7554320293965174,0.7808140839171859,0.7689742135999702,0.7981237830112845,0.7660944230252482,0.7813391870485488,0.7479586686598094,0.7716400741705896,0.7703675067269975,0.7792799661394224,0.7965805586879755,0.7805583431283363,0.7882046849299632,0.7829736539258035,0.7721125961930716,0.7905388027804372,0.7858506065494348
Database,,,,,0.8003182894260003,0.7934574913844104,0.8026274190893586,0.8055645937642334,0.7786813920949864,0.8028831947709967,0.7991585548017399,0.7931083571132057,0.8131987817162213,0.8090300850117335,0.805871986070893,0.8106243488629121,0.7982891159211899,0.8167835076291085,0.8119348309429736,0.8002201847637604
MS system,,,,,,0.7962386790484469,0.785582093081013,0.7967129183997474,0.7791970983341995,0.7855370867383565,0.8050297155846675,0.8034085370090994,0.8092883666919906,0.8081986052465873,0.8000984640452438,0.804194917253134,0.8002226939348906,0.8007701956049642,0.8155534526958277,0.8072607690063439
Protein source concentration,,,,,,,0.8034700022115545,0.8244052906255036,0.7955188865687356,0.7937446890800002,0.8066034301696556,0.8060994715310689,0.7952896133910657,0.8075197902032414,0.8174632953352956,0.8281873022727385,0.8132836898287709,0.8078313821983206,0.8379928807988394,0.813211372323218
Search engine,,,,,,,,0.8013519067365251,0.7846690719767196,0.7955109164410392,0.8095925763894978,0.800208718735952,0.8054585352055357,0.8070756922935987,0.8159798551850144,0.8109368688810381,0.7959749351153002,0.807820513950267,0.8170150346685584,0.8094467599019258
NM concentration,,,,,,,,,0.7955679828036034,0.7950190793616436,0.8170948823294982,0.7971297272089162,0.8065909757925704,0.8037814325595253,0.8251083270171196,0.8181602218148466,0.816435068537494,0.8123015358301279,0.8254142493607589,0.8151191030697483
Core type,,,,,,,,,,0.7862379695828102,0.8076995897639794,0.8090034543045896,0.7775038240816785,0.8004983180480965,0.808931341516151,0.8278804316733328,0.8078966188092762,0.7967297300161745,0.8273495277360704,0.8144008172064766
Digestion protocol,,,,,,,,,,,0.7991107577759891,0.7911782170322226,0.815457912298841,0.8167596068478933,0.809297325842114,0.8081270524312314,0.8042474513404618,0.8164954522449941,0.8129344096997542,0.7977890293054701
Modification type,,,,,,,,,,,,0.8146045435777854,0.8087268712904082,0.8187377805494124,0.8117805050204171,0.8392506948267919,0.8157141562903523,0.8100239925800431,0.8358541476592205,0.8204455952551222
Surface modification,,,,,,,,,,,,,0.8070369755919193,0.8128230583390059,0.8130193538623829,0.8283754294369075,0.820116284509025,0.8083094451172319,0.8249457657519127,0.828714651332882
Proteomic depth,,,,,,,,,,,,,,0.8089426359087972,0.817608153383459,0.8162712550799425,0.8084038478851036,0.8256919497315673,0.8234703880147882,0.8186268634452964
Separation method,,,,,,,,,,,,,,,0.8235398524343785,0.8269920470109998,0.8296276599438306,0.8255991382026732,0.8211716062078998,0.8310511613350812
Incubation temperature (℃),,,,,,,,,,,,,,,,0.8197597089478676,0.8174312547320247,0.824128709292241,0.8242690331269732,0.8239701283548027
DLS size in water (nm),,,,,,,,,,,,,,,,,0.8343762552988733,0.8266479506707661,0.839366395876265,0.8318906021058216
Incubation setting,,,,,,,,,,,,,,,,,,0.8091117539587663,0.8348177188709618,0.8216276983025631
Centrifugation speed,,,,,,,,,,,,,,,,,,,0.8271359160532648,0.813137086146747
Zeta potential in dispersion medium (mV),,,,,,,,,,,,,,,,,,,,0.8314129619212471
Primary size (nm),,,,,,,,,,,,,,,,,,,,
